dataset,group,sql_file,time_ms,pkg_j
estat,estat/02_filter_project,high_selectivity.sql,13.57,0.161
estat,estat/06_join_chain,star_join_full.sql,668.68,14.709
estat,estat/07_grouping_distinct,count_per_group.sql,1082.93,23.748
estat,estat/07_grouping_distinct,distinct_high_card.sql,1184.74,25.994
estat,estat/08_sorting,sort_topn.sql,1281.82,28.432
estat,estat/01_scan_access,seq_scan.sql,1555.94,18.29
estat,estat/02_filter_project,low_selectivity.sql,2029.52,24.28
estat,estat/03_join_method,large_hash.sql,2905.15,35.759
estat,estat/03_join_method,large_merge.sql,3035.51,73.967
estat,estat/08_sorting,sort_numeric.sql,7035.2,153.27
estat,estat/01_scan_access,index_scan.sql,16453.91,168.471
warehouse,warehouse,PointLookup.sql,8.39,0.106
warehouse,warehouse/Core/01_scan_access,index_scan.sql,13.41,0.161
warehouse,warehouse/Core/02_filter_projection,low_selectivity.sql,17.42,0.234
warehouse,warehouse/Core/02_filter_projection,high_selectivity.sql,22.59,0.353
warehouse,warehouse/Core/01_scan_access,seq_scan.sql,36.17,0.339
warehouse,warehouse,SelectiveFilter.sql,37.21,0.485
warehouse,warehouse/Core/08_sorting,sort_topn.sql,46.41,0.669
warehouse,warehouse/Core/07_grouping_distinct,distinct_high_card.sql,68.52,0.719
warehouse,warehouse/Core/07_grouping_distinct,count_per_group.sql,70.33,1.232
warehouse,warehouse,JoinHeavy.sql,76.81,1.304
warehouse,warehouse/Core/03_join_method,large_hash.sql,77.7,0.816
warehouse,warehouse,3Join.sql,120.11,2.011
warehouse,warehouse/Core/06_join_chain,three_way.sql,122.82,1.309
warehouse,warehouse/Core/08_sorting,sort_numeric.sql,136.96,1.426
warehouse,warehouse/Core/03_join_method,large_merge.sql,153.51,1.667
warehouse,warehouse,FullTableScan.sql,163.96,1.778
warehouse,warehouse,WindowFunction.sql,521.18,6.518
