qid,query,elapsed_sec,rapl_pkg_j,n_tables,n_join,category
10041,queries/tpch/SQLStorm/10041.sql,15.06809,90.18365478515624,4,3,timeout
10046,queries/tpch/SQLStorm/10046.sql,15.060649,86.34527587890625,6,5,timeout
10052,queries/tpch/SQLStorm/10052.sql,15.089605,96.16064453125,3,2,timeout
10053,queries/tpch/SQLStorm/10053.sql,15.101041,90.04156494140625,4,3,timeout
10064,queries/tpch/SQLStorm/10064.sql,15.091156,96.15179443359376,4,3,timeout
10077,queries/tpch/SQLStorm/10077.sql,15.061146,85.3690185546875,5,4,timeout
10079,queries/tpch/SQLStorm/10079.sql,15.107317,85.24761962890625,5,4,timeout
10099,queries/tpch/SQLStorm/10099.sql,15.086732,95.10748291015624,4,3,timeout
10131,queries/tpch/SQLStorm/10131.sql,15.094326,90.47943115234376,4,3,timeout
10139,queries/tpch/SQLStorm/10139.sql,15.065334,91.67120361328125,4,3,timeout
1014,queries/tpch/SQLStorm/1014.sql,15.089605,91.83404541015624,6,5,timeout
10140,queries/tpch/SQLStorm/10140.sql,15.113914,246.697509765625,6,5,timeout
10141,queries/tpch/SQLStorm/10141.sql,15.064356,94.57080078125,4,3,timeout
10148,queries/tpch/SQLStorm/10148.sql,15.120115,251.484375,7,6,timeout
10177,queries/tpch/SQLStorm/10177.sql,15.150077,145.58563232421875,4,3,timeout
10184,queries/tpch/SQLStorm/10184.sql,15.067545,90.6531982421875,4,3,timeout
10211,queries/tpch/SQLStorm/10211.sql,15.116515,250.73303222656247,7,6,timeout
10227,queries/tpch/SQLStorm/10227.sql,15.06446,90.0469970703125,4,3,timeout
1023,queries/tpch/SQLStorm/1023.sql,15.121591,157.62615966796875,6,6,timeout
1025,queries/tpch/SQLStorm/1025.sql,0.057998,0.3739013671875,6,5,error
10276,queries/tpch/SQLStorm/10276.sql,15.178342,221.93518066406247,4,3,timeout
10289,queries/tpch/SQLStorm/10289.sql,15.090427,96.65209960937501,4,3,timeout
10291,queries/tpch/SQLStorm/10291.sql,15.066768,94.09613037109376,4,3,timeout
10304,queries/tpch/SQLStorm/10304.sql,15.126422,232.22082519531247,4,3,timeout
10305,queries/tpch/SQLStorm/10305.sql,15.067904,94.27880859375,4,3,timeout
10317,queries/tpch/SQLStorm/10317.sql,15.066244,92.6502685546875,4,3,timeout
10376,queries/tpch/SQLStorm/10376.sql,15.221958,221.92425537109372,3,2,timeout
1039,queries/tpch/SQLStorm/1039.sql,15.132709,85.88116455078125,5,4,timeout
10417,queries/tpch/SQLStorm/10417.sql,15.062813,85.95220947265625,5,4,timeout
10423,queries/tpch/SQLStorm/10423.sql,15.288331,246.78948974609372,8,7,timeout
10455,queries/tpch/SQLStorm/10455.sql,15.1629,183.087646484375,5,4,timeout
10456,queries/tpch/SQLStorm/10456.sql,15.065587,91.63824462890624,4,3,timeout
10472,queries/tpch/SQLStorm/10472.sql,15.117046,250.82672119140625,7,6,timeout
10476,queries/tpch/SQLStorm/10476.sql,15.113775,93.7996826171875,5,4,timeout
10478,queries/tpch/SQLStorm/10478.sql,15.065874,90.41082763671875,4,3,timeout
10482,queries/tpch/SQLStorm/10482.sql,15.276335,242.472900390625,6,5,timeout
10487,queries/tpch/SQLStorm/10487.sql,15.129116,251.012451171875,8,7,timeout
10496,queries/tpch/SQLStorm/10496.sql,15.063604,90.32543945312499,4,3,timeout
10509,queries/tpch/SQLStorm/10509.sql,15.159156,161.5028076171875,6,5,timeout
10524,queries/tpch/SQLStorm/10524.sql,15.092224,96.72778320312499,4,3,timeout
10566,queries/tpch/SQLStorm/10566.sql,15.064059,91.3021240234375,4,3,timeout
1059,queries/tpch/SQLStorm/1059.sql,15.10838,110.73883056640624,5,4,timeout
10593,queries/tpch/SQLStorm/10593.sql,15.066036,90.5902099609375,4,3,timeout
10608,queries/tpch/SQLStorm/10608.sql,15.082304,90.1807861328125,7,6,timeout
10611,queries/tpch/SQLStorm/10611.sql,15.33297,252.49816894531247,5,4,timeout
10625,queries/tpch/SQLStorm/10625.sql,15.065493,90.64825439453124,4,3,timeout
10633,queries/tpch/SQLStorm/10633.sql,15.067306,91.04595947265624,4,3,timeout
10651,queries/tpch/SQLStorm/10651.sql,15.156641,185.14221191406247,6,5,timeout
10654,queries/tpch/SQLStorm/10654.sql,15.100064,95.3994140625,7,6,timeout
10673,queries/tpch/SQLStorm/10673.sql,15.109702,237.48089599609372,7,6,timeout
10686,queries/tpch/SQLStorm/10686.sql,15.066233,89.64288330078125,4,3,timeout
10697,queries/tpch/SQLStorm/10697.sql,15.093972,106.68719482421876,6,5,timeout
10701,queries/tpch/SQLStorm/10701.sql,15.090154,98.55859375,4,3,timeout
10739,queries/tpch/SQLStorm/10739.sql,15.063968,90.02172851562499,4,3,timeout
10753,queries/tpch/SQLStorm/10753.sql,15.160831,183.74615478515625,3,2,timeout
10786,queries/tpch/SQLStorm/10786.sql,15.06196,86.14599609375,5,4,timeout
10828,queries/tpch/SQLStorm/10828.sql,15.063616,87.9228515625,3,2,timeout
10842,queries/tpch/SQLStorm/10842.sql,15.063729,90.55126953125,4,3,timeout
10878,queries/tpch/SQLStorm/10878.sql,15.063561,90.59149169921875,4,3,timeout
10904,queries/tpch/SQLStorm/10904.sql,15.058078,86.58135986328125,5,4,timeout
10959,queries/tpch/SQLStorm/10959.sql,15.153824,188.46319580078125,3,2,timeout
10983,queries/tpch/SQLStorm/10983.sql,15.295795,232.735107421875,7,6,timeout
10998,queries/tpch/SQLStorm/10998.sql,15.090677,96.17938232421875,4,3,timeout
11015,queries/tpch/SQLStorm/11015.sql,15.060766,86.3935546875,5,4,timeout
11065,queries/tpch/SQLStorm/11065.sql,15.131267,176.412353515625,3,2,timeout
11068,queries/tpch/SQLStorm/11068.sql,15.063689,90.8516845703125,4,3,timeout
11077,queries/tpch/SQLStorm/11077.sql,15.093653,96.13336181640624,4,3,timeout
11081,queries/tpch/SQLStorm/11081.sql,15.060538,85.75726318359375,5,4,timeout
11084,queries/tpch/SQLStorm/11084.sql,15.120827,247.95544433593753,6,5,timeout
11086,queries/tpch/SQLStorm/11086.sql,15.104543,95.92578125,5,4,timeout
11130,queries/tpch/SQLStorm/11130.sql,15.143962,240.33709716796875,4,3,timeout
11131,queries/tpch/SQLStorm/11131.sql,15.080185,88.14996337890625,5,4,timeout
11139,queries/tpch/SQLStorm/11139.sql,15.05948,85.91693115234375,4,3,timeout
1115,queries/tpch/SQLStorm/1115.sql,15.072243,82.826171875,5,5,timeout
11177,queries/tpch/SQLStorm/11177.sql,15.084192,88.25433349609375,5,4,timeout
11189,queries/tpch/SQLStorm/11189.sql,15.064801,91.50708007812499,4,3,timeout
11191,queries/tpch/SQLStorm/11191.sql,15.170737,141.989990234375,5,4,timeout
11199,queries/tpch/SQLStorm/11199.sql,15.168148,182.93322753906247,4,3,timeout
1120,queries/tpch/SQLStorm/1120.sql,15.065369,83.38452148437501,6,7,timeout
11210,queries/tpch/SQLStorm/11210.sql,15.134724,187.24884033203125,4,3,timeout
11258,queries/tpch/SQLStorm/11258.sql,15.06391,91.26507568359376,4,3,timeout
1127,queries/tpch/SQLStorm/1127.sql,15.061854,89.15509033203125,6,7,timeout
