qid,chars,lines,tokens,n_select,n_join,n_where,is_cte,has_where,has_join,has_group,has_having,has_order,has_limit,has_distinct,has_case,has_window,has_union,has_exists,has_in_subq,has_like,has_recursive,has_subquery,join_inner,join_left,join_right,join_full,join_cross,n_tables,tbl_badges,tbl_closereasontypes,tbl_comments,tbl_linktypes,tbl_posthistory,tbl_posthistorytypes,tbl_postlinks,tbl_posts,tbl_posttypes,tbl_tags,tbl_users,tbl_votes,tbl_votetypes,fn_count,fn_sum,fn_avg,fn_min,fn_max,fn_string_agg,fn_array_agg,fn_substring,fn_concat,fn_replace,fn_upper,fn_lower,fn_trim,fn_coalesce,fn_cast,fn_round,fn_extract,fn_date_trunc,fn_case
10000,1182,51,156,3,3,2,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,4,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10004,1116,57,123,3,3,2,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,4,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10006,1490,64,194,5,4,0,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,4,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
10007,608,26,100,1,3,0,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,4,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10008,660,29,109,1,3,1,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,4,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10009,598,28,93,1,4,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10010,688,26,119,1,2,1,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,3,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10011,1117,54,148,3,4,0,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,4,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10016,561,28,88,1,3,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10017,1354,58,172,3,3,1,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,4,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
