db_size,group,sql_file,time_ms,pkg_j,versions
1 GB,tpch/Core/00_baseline,scan_region.sql,4.07,0.05,3
1 GB,tpch/Core/10_subqueries_ctes,values_scan.sql,4.08,0.05,3
1 GB,tpch/Core/00_baseline,scan_nation.sql,4.09,0.05,3
1 GB,tpch/Core/01_scan_access,index_point_lookup.sql,4.18,0.051,3
1 GB,tpch/Core/02_filter_projection,limit_100.sql,4.22,0.051,3
1 GB,tpch/Core/04_join_scale,join_25x5.sql,4.23,0.052,3
1 GB,tpch/Core/00_baseline,scan_supplier.sql,4.89,0.06,3
1 GB,tpch/Core/00_baseline,no_table.sql,5.06,0.048,3
1 GB,tpch/Core/03_join_method,small_hash.sql,6.02,0.074,3
1 GB,tpch/Core/04_join_scale,join_10kx25.sql,6.04,0.075,3
1 GB,tpch/Core/03_join_method,small_merge.sql,6.76,0.083,3
1 GB,tpch/Core/01_scan_access,tablesample_system.sql,17.24,0.156,3
1 GB,tpch/Core/03_join_method,small_nestloop.sql,24.11,0.243,3
1 GB,tpch/Core/00_baseline,scan_part.sql,28.6,0.273,3
1 GB,tpch/Core/00_baseline,scan_customer.sql,30.12,0.176,3
1 GB,tpch/Core/04_join_scale,join_150kx25.sql,36.66,0.385,3
1 GB,tpch/Core/01_scan_access,index_only_scan.sql,45.52,0.521,3
1 GB,tpch/Core/00_baseline,scan_partsupp.sql,85.06,1.042,3
1 GB,tpch/Core/01_scan_access,bitmap_scan.sql,94.16,1.033,3
1 GB,tpch/Core/01_scan_access,index_scan.sql,97.59,1.076,3
2 GB,tpch/Core/04_join_scale,join_25x5.sql,5.91,0.072,3
2 GB,tpch/Core/00_baseline,no_table.sql,8.03,0.097,3
2 GB,tpch/Core/00_baseline,scan_nation.sql,8.03,0.1,3
2 GB,tpch/Core/00_baseline,scan_region.sql,8.03,0.098,3
2 GB,tpch/Core/10_subqueries_ctes,values_scan.sql,8.03,0.101,3
2 GB,tpch/Core/01_scan_access,index_point_lookup.sql,8.25,0.102,3
2 GB,tpch/Core/02_filter_projection,limit_100.sql,8.26,0.105,3
2 GB,tpch/Core/04_join_scale,join_10kx25.sql,9.52,0.119,3
2 GB,tpch/Core/00_baseline,scan_supplier.sql,9.85,0.12,3
2 GB,tpch/Core/03_join_method,small_hash.sql,11.74,0.151,3
2 GB,tpch/Core/03_join_method,small_merge.sql,13.31,0.167,3
2 GB,tpch/Core/01_scan_access,tablesample_system.sql,28.64,0.32,3
2 GB,tpch/Core/00_baseline,scan_customer.sql,43.52,0.516,3
2 GB,tpch/Core/03_join_method,small_nestloop.sql,44.83,0.504,3
2 GB,tpch/Core/00_baseline,scan_part.sql,50.81,0.61,3
2 GB,tpch/Core/01_scan_access,index_only_scan.sql,51.02,0.573,3
2 GB,tpch/Core/04_join_scale,join_150kx25.sql,68.97,0.807,3
2 GB,tpch/Core/01_scan_access,index_scan.sql,107.92,1.146,3
2 GB,tpch/Core/01_scan_access,bitmap_scan.sql,108.62,2.299,3
2 GB,tpch/Core/00_baseline,scan_partsupp.sql,211.04,2.172,3
5 GB,tpch/Core/04_join_scale,join_25x5.sql,5.34,0.066,3
5 GB,tpch/Core/10_subqueries_ctes,values_scan.sql,7.97,0.101,2
5 GB,tpch/Core/00_baseline,no_table.sql,8.0,0.094,2
5 GB,tpch/Core/00_baseline,scan_nation.sql,8.03,0.096,2
5 GB,tpch/Core/00_baseline,scan_region.sql,8.04,0.096,2
5 GB,tpch/Core/01_scan_access,index_point_lookup.sql,8.3,0.1,2
5 GB,tpch/Core/02_filter_projection,limit_100.sql,8.55,0.1,2
5 GB,tpch/Core/00_baseline,scan_supplier.sql,13.33,0.149,2
5 GB,tpch/Core/04_join_scale,join_10kx25.sql,16.33,0.178,3
5 GB,tpch/Core/03_join_method,small_hash.sql,16.8,0.208,2
5 GB,tpch/Core/03_join_method,small_merge.sql,18.72,0.232,2
5 GB,tpch/Core/01_scan_access,index_only_scan.sql,50.78,0.557,2
5 GB,tpch/Core/01_scan_access,tablesample_system.sql,52.61,0.624,2
5 GB,tpch/Core/03_join_method,small_nestloop.sql,73.91,1.024,2
5 GB,tpch/Core/00_baseline,scan_customer.sql,98.03,1.16,2
5 GB,tpch/Core/01_scan_access,index_scan.sql,105.12,1.127,2
5 GB,tpch/Core/00_baseline,scan_part.sql,117.8,1.399,2
5 GB,tpch/Core/04_join_scale,join_150kx25.sql,156.8,1.949,3
5 GB,tpch/Core/01_scan_access,bitmap_scan.sql,158.48,3.532,2
5 GB,tpch/Core/02_filter_projection,limit_offset_3m.sql,275.08,3.562,2
