db_size,group,sql_file,time_ms,pkg_j,versions
1 GB,Core/00_baseline,no_table.sql,176.28,0.68,3
1 GB,Core/00_baseline,scan_nation.sql,186.24,0.769,3
1 GB,Core/00_baseline,scan_region.sql,192.59,0.754,3
1 GB,Core/00_baseline,scan_supplier.sql,194.2,0.764,3
1 GB,Core/10_subqueries_ctes,values_scan.sql,199.11,0.742,3
1 GB,Core/02_filter_projection,limit_100.sql,202.22,0.781,3
1 GB,Core/01_scan_access,index_point_lookup.sql,203.27,0.793,3
1 GB,Core/04_join_scale,join_10kx25.sql,213.19,0.813,3
1 GB,Core/03_join_method,small_hash.sql,215.17,0.823,3
1 GB,Core/04_join_scale,join_25x5.sql,217.13,0.801,3
1 GB,Core/03_join_method,small_merge.sql,221.68,0.834,3
1 GB,Core/03_join_method,small_nestloop.sql,237.62,0.965,3
1 GB,Core/01_scan_access,index_only_scan.sql,316.83,1.358,3
1 GB,Core/00_baseline,scan_part.sql,361.19,1.267,3
1 GB,Core/00_baseline,scan_customer.sql,371.69,1.325,3
1 GB,Core/04_join_scale,join_150kx25.sql,395.0,1.531,3
1 GB,Core/01_scan_access,index_scan.sql,516.66,2.909,3
1 GB,Core/00_baseline,scan_partsupp.sql,539.94,2.516,3
1 GB,Core/12_memory_workmem,hashjoin_onebatch.sql,540.41,4.324,3
1 GB,Core/01_scan_access,tablesample_system.sql,571.75,1.647,3
2 GB,Core/00_baseline,scan_region.sql,182.72,0.723,3
2 GB,Core/00_baseline,no_table.sql,185.6,0.726,3
2 GB,Core/00_baseline,scan_nation.sql,189.99,0.752,3
2 GB,Core/10_subqueries_ctes,values_scan.sql,191.82,0.717,3
2 GB,Core/01_scan_access,index_point_lookup.sql,198.87,0.789,3
2 GB,Core/02_filter_projection,limit_100.sql,200.16,0.769,3
2 GB,Core/00_baseline,scan_supplier.sql,202.06,0.812,3
2 GB,Core/04_join_scale,join_25x5.sql,210.24,0.851,3
2 GB,Core/03_join_method,small_hash.sql,211.95,0.852,3
2 GB,Core/04_join_scale,join_10kx25.sql,219.68,0.863,3
2 GB,Core/03_join_method,small_merge.sql,245.81,0.942,3
2 GB,Core/03_join_method,small_nestloop.sql,258.63,1.163,3
2 GB,Core/01_scan_access,index_only_scan.sql,313.53,1.335,3
2 GB,Core/00_baseline,scan_part.sql,367.99,1.584,3
2 GB,Core/00_baseline,scan_customer.sql,374.7,1.972,3
2 GB,Core/04_join_scale,join_150kx25.sql,397.23,1.849,3
2 GB,Core/01_scan_access,index_scan.sql,520.7,2.945,3
2 GB,Core/10_subqueries_ctes,cte_recursive.sql,637.91,5.575,3
2 GB,Core/00_baseline,scan_partsupp.sql,676.55,4.38,3
2 GB,Core/12_memory_workmem,hashjoin_onebatch.sql,718.31,8.533,3
5 GB,Core/04_join_scale,join_25x5.sql,198.45,0.837,1
5 GB,Core/00_baseline,scan_region.sql,204.53,0.775,1
5 GB,Core/00_baseline,no_table.sql,208.96,0.747,1
5 GB,Core/02_filter_projection,limit_100.sql,209.09,0.78,1
5 GB,Core/00_baseline,scan_nation.sql,210.64,0.775,1
5 GB,Core/10_subqueries_ctes,values_scan.sql,211.23,0.766,1
5 GB,Core/01_scan_access,index_point_lookup.sql,220.77,0.793,1
5 GB,Core/00_baseline,scan_supplier.sql,284.71,1.0,1
5 GB,Core/04_join_scale,join_10kx25.sql,335.34,1.133,1
5 GB,Core/03_join_method,small_hash.sql,339.5,1.13,1
5 GB,Core/03_join_method,small_merge.sql,344.7,1.137,1
5 GB,Core/01_scan_access,index_only_scan.sql,356.53,1.41,1
5 GB,Core/03_join_method,small_nestloop.sql,369.42,1.868,1
5 GB,Core/01_scan_access,index_scan.sql,503.98,2.867,1
5 GB,Core/00_baseline,scan_customer.sql,553.63,2.633,1
5 GB,Core/04_join_scale,join_150kx25.sql,571.87,3.446,1
5 GB,Core/00_baseline,scan_part.sql,606.62,3.042,1
5 GB,Core/10_subqueries_ctes,cte_recursive.sql,683.07,5.946,1
5 GB,Core/10_subqueries_ctes,function_scan.sql,895.73,8.549,1
5 GB,Core/02_filter_projection,limit_offset_3m.sql,1021.57,7.204,1
