dataset,group,sql_file,time_ms,pkg_j
estat,estat/02_filter_project,high_selectivity.sql,1105.82,3.1
estat,estat/06_join_chain,star_join_full.sql,1783.64,27.03
estat,estat/07_grouping_distinct,count_per_group.sql,1997.2,36.286
estat,estat/07_grouping_distinct,distinct_high_card.sql,2089.3,39.788
estat,estat/08_sorting,sort_topn.sql,2256.19,41.317
estat,estat/01_scan_access,seq_scan.sql,2611.76,25.969
estat,estat/02_filter_project,low_selectivity.sql,3052.87,31.577
estat,estat/03_join_method,large_hash.sql,3850.65,43.638
estat,estat/03_join_method,large_merge.sql,4121.64,85.558
estat,estat/08_sorting,sort_numeric.sql,7982.97,168.332
estat,estat/01_scan_access,index_scan.sql,42396.52,243.049
warehouse,warehouse/Core/01_scan_access,index_scan.sql,210.71,0.933
warehouse,warehouse,PointLookup.sql,220.99,0.771
warehouse,warehouse/Core/02_filter_projection,high_selectivity.sql,331.99,1.532
warehouse,warehouse/Core/02_filter_projection,low_selectivity.sql,351.45,1.095
warehouse,warehouse/Core/01_scan_access,seq_scan.sql,359.67,1.434
warehouse,warehouse/Core/08_sorting,sort_topn.sql,378.73,1.593
warehouse,warehouse/Core/07_grouping_distinct,distinct_high_card.sql,403.5,1.673
warehouse,warehouse/Core/08_sorting,sort_numeric.sql,413.44,2.34
warehouse,warehouse,SelectiveFilter.sql,415.5,1.685
warehouse,warehouse/Core/07_grouping_distinct,count_per_group.sql,444.06,2.398
warehouse,warehouse/Core/06_join_chain,three_way.sql,480.28,2.497
warehouse,warehouse/Core/03_join_method,large_hash.sql,483.78,2.011
warehouse,warehouse,JoinHeavy.sql,485.63,2.47
warehouse,warehouse/Core/03_join_method,large_merge.sql,514.54,2.678
warehouse,warehouse,3Join.sql,518.04,3.17
warehouse,warehouse,FullTableScan.sql,529.94,2.89
warehouse,warehouse,WindowFunction.sql,857.68,7.885
